row,date,description,town,lat,lon,status,thumbnail_url,video_url
1,2026-06-17,force position kfar tebnit,Kfar Tebnit,33.35306,35.51333,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-17_force_position_kfar_tebnit_mmirleb_17590.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-17_force_position_kfar_tebnit_mmirleb_17590.mp4
2,2026-06-14,Engineering vehicle arnoun ababil drone,Arnoun,33.33168333,35.52566667,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-14_engineering_vehicle_arnoun_ababil_drone.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-14_engineering_vehicle_arnoun_ababil_drone.mp4
3,2026-06-13,command center beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-13_command_center_beaufort_castle_mmirleb_17580.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-13_command_center_beaufort_castle_mmirleb_17580.mp4
4,2026-06-13,namer vehicle hamammas hill khiam,Khiam,33.32690833,35.61120556,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-13_namer_vehicle_hamammas_hill_khiam_mmirleb_17588.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-13_namer_vehicle_hamammas_hill_khiam_mmirleb_17588.mp4
5,2026-06-13,Excavator majdal zoun,Majdal Zoun,33.15143056,35.22584444,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-13_excavator_majdal_zoun.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-13_excavator_majdal_zoun.mp4
6,2026-06-13,logistics position bayyadah,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-13_logistics_position_bayyadah_mmirleb_17436.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-13_logistics_position_bayyadah_mmirleb_17436.mp4
7,2026-06-12,Merkava tank yahmor al shqif,Yahmor al-Shaqif,33.30935556,35.51621944,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-12_merkava_tank_yahmor_al_shqif.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-12_merkava_tank_yahmor_al_shqif.mp4
8,2026-06-12,D9 armored bulldozer tayr harfa ababil drone,Tayr Harfa,33.126925,35.21875556,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-12_d9_armored_bulldozer_tayr_harfa_ababil_drone.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-12_d9_armored_bulldozer_tayr_harfa_ababil_drone.mp4
9,2026-06-12,merkava tank beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-12_merkava_tank_beaufort_castle_mmirleb_17595.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-12_merkava_tank_beaufort_castle_mmirleb_17595.mp4
10,2026-06-11,d9 engineering vehicle beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-11_d9_engineering_vehicle_beaufort_castle_mmirleb_17598.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-11_d9_engineering_vehicle_beaufort_castle_mmirleb_17598.mp4
